39,1,268736.6043
39,2,222886.0767
39,3,208985.9494
39,4,260590.4736
39,5,534033.643
39,6,1779011.3715
39,7,5174873.1111
39,8,9239324.0591
39,9,11365419.1117
39,10,12308395.0027
39,11,11612214.0495
39,12,9581906.7857
39,13,9678047.8019
39,14,10201052.6081
39,15,11161522.026
39,16,11819369.9829
39,17,11266183.7066
39,18,9429797.337
39,19,6666930.2128
39,20,4291599.8808
39,21,2445883.3209
39,22,1557790.8969
39,23,854322.2006
0,1,15999.5771
0,2,13063.3747
0,3,12665.646
0,4,17229.1018
0,5,26707.776
0,6,57575.5462
0,7,98330.7646
0,8,128026.4071
0,9,145327.5339
0,10,151329.2792
0,11,147543.1107
0,12,131773.9935
0,13,131157.4248
0,14,134163.5369
0,15,139970.1571
0,16,144955.9775
0,17,135792.6307
0,18,116578.9879
0,19,97120.8129
0,20,76042.9481
0,21,57743.4555
0,22,43244.0235
0,23,48227.9955
20,1,1656.4147
20,2,810.202
20,3,980.7181
20,4,2530.3863
20,5,7563.5056
20,6,14000.2116
20,7,19350.4159
20,8,34344.0848
20,9,45518.8201
20,10,52207.5003
20,11,65851.7878
20,12,59380.3706
20,13,57387.5526
20,14,65476.9482
20,15,65741.9239
20,16,81601.2057
20,17,92629.8727
20,18,93820.7672
20,19,82317.7291
20,20,57105.9591
20,21,32199.2704
20,22,18175.4007
20,23,8654.2549
